year,state_name,state_abbr,total_ac,count
2008,Minnesota,MN,20282,10
2009,Minnesota,MN,35482,19
2010,Minnesota,MN,23758,17
2011,Minnesota,MN,118946,6
2012,Minnesota,MN,20112,11
2013,Minnesota,MN,5653,3
2015,Minnesota,MN,11921,5
2016,Minnesota,MN,11201,4
2018,Minnesota,MN,33945,6
2000,Missouri,MO,11114,10
2001,Missouri,MO,649,1
2002,Missouri,MO,4030,3
2003,Missouri,MO,3985,4
2004,Missouri,MO,10345,7
2005,Missouri,MO,26842,16
2006,Missouri,MO,22402,14
2007,Missouri,MO,21050,13
2009,Missouri,MO,13157,7
2010,Missouri,MO,28518,12
2011,Missouri,MO,37515,20
2012,Missouri,MO,25133,12
2013,Missouri,MO,18901,13
2014,Missouri,MO,9212,7
2015,Missouri,MO,15711,9
2016,Missouri,MO,15970,9
2017,Missouri,MO,10046,5
2018,Missouri,MO,13338,10
2000,Mississippi,MS,16583,12
2001,Mississippi,MS,7411,6
2002,Mississippi,MS,2499,3
2003,Mississippi,MS,2352,3
2004,Mississippi,MS,2555,4
2005,Mississippi,MS,68534,26
2006,Mississippi,MS,44732,33
2007,Mississippi,MS,12400,10
2008,Mississippi,MS,112719,48
2009,Mississippi,MS,3677,4
2010,Mississippi,MS,162452,73
2011,Mississippi,MS,12230,12
2012,Mississippi,MS,3341,4
2013,Mississippi,MS,127829,69
2014,Mississippi,MS,163886,80
2015,Mississippi,MS,68970,47
2016,Mississippi,MS,88082,70
2017,Mississippi,MS,51944,29
2018,Mississippi,MS,118567,78
2000,Montana,MT,751015,55
2001,Montana,MT,149083,16
2002,Montana,MT,101148,8
2003,Montana,MT,759899,63
2004,Montana,MT,13963,7
2005,Montana,MT,94937,23
2006,Montana,MT,787088,50
2007,Montana,MT,642505,44
2008,Montana,MT,145701,13
2009,Montana,MT,41260,10
2010,Montana,MT,42092,6
2011,Montana,MT,132459,21
2012,Montana,MT,928406,69
2013,Montana,MT,68181,12
2014,Montana,MT,25451,10
2015,Montana,MT,314237,43
2016,Montana,MT,72093,17
2017,Montana,MT,1189804,70
2018,Montana,MT,100195,24
2000,North Carolina,NC,25137,9
2001,North Carolina,NC,12644,5
2002,North Carolina,NC,8091,7
2003,North Carolina,NC,7727,5
2004,North Carolina,NC,7072,7
2005,North Carolina,NC,9074,5
2006,North Carolina,NC,19476,14
2007,North Carolina,NC,31990,20
2008,North Carolina,NC,51876,9
2009,North Carolina,NC,24871,16
2010,North Carolina,NC,19009,18
2011,North Carolina,NC,78903,9
2012,North Carolina,NC,3550,4
2013,North Carolina,NC,8041,7
2014,North Carolina,NC,7564,6
2015,North Carolina,NC,13788,11
