OID_,DM,date,STATE_NAME,STATE_ABBR,Shape_Length,Shape_Area,Acres
146,0,2007-01-02,California,CA,19.07444692,13.4407676,32893413
147,0,2007-01-02,Colorado,CO,31.38064192,6.946494783,16502791
148,0,2007-01-02,Florida,FL,111.7497227,6.790800754,18233198
149,0,2007-01-02,Georgia,GA,29.18977034,12.31339458,31637405
150,0,2007-01-02,Hawaii,HI,6.841993736,0.798300637,2284822
151,0,2007-01-02,Iowa,IA,17.8892604,4.877271181,11042661
152,0,2007-01-02,Idaho,ID,14.40747618,5.973751508,13250845
153,0,2007-01-02,Illinois,IL,4.857975919,0.798917204,1854750
154,0,2007-01-02,Kansas,KS,18.79799852,4.575187962,10894833
155,0,2007-01-02,Kentucky,KY,12.18111223,5.155997981,12527863
156,0,2007-01-02,Louisiana,LA,94.91196566,1.914381165,5039118
157,0,2007-01-02,Maryland,MD,3.635957642,0.281222165,663028
158,0,2007-01-02,Michigan,MI,22.67319746,1.73420866,3713019
159,0,2007-01-02,Minnesota,MN,18.777608,9.228555298,20058228
160,0,2007-01-02,Missouri,MO,15.66016101,6.2450252,14837342
161,0,2007-01-02,Mississippi,MS,10.26659574,0.438480327,1143966
162,0,2007-01-02,Montana,MT,39.36912203,18.43483303,38289387
163,0,2007-01-02,North Carolina,NC,2.193900951,0.186450504,465631
164,0,2007-01-02,North Dakota,ND,12.6323056,4.875619162,10231967
165,0,2007-01-02,Nebraska,NE,8.704814536,1.676085287,3840412
166,0,2007-01-02,New Mexico,NM,27.90496755,12.78933968,32288516
167,0,2007-01-02,Nevada,NV,16.3900024,7.702857525,18507937
168,0,2007-01-02,Ohio,OH,0.686929631,0.015534271,37195
169,0,2007-01-02,Oklahoma,OK,22.51906094,5.182494829,12927919
170,0,2007-01-02,Pennsylvania,PA,6.020010493,2.229336331,5203180
171,0,2007-01-02,Puerto Rico,PR,4.565250842,0.199875866,578703
172,0,2007-01-02,South Carolina,SC,12.39864199,0.525474915,1351297
173,0,2007-01-02,South Dakota,SD,12.72055413,7.1853362,15589374
174,0,2007-01-02,Tennessee,TN,17.1824624,6.773334818,16790208
175,0,2007-01-02,Texas,TX,77.23342926,14.17209036,37218592
176,0,2007-01-02,Utah,UT,10.44685301,1.348717294,3256503
177,0,2007-01-02,Virginia,VA,6.995024607,0.503369087,1226256
178,0,2007-01-02,Wisconsin,WI,18.17580338,5.874957399,12784208
179,0,2007-01-02,West Virginia,WV,13.10674036,4.853675112,11603875
180,0,2007-01-02,Wyoming,WY,12.38753193,1.76362088,3984674
181,0,2018-01-02,Alabama,AL,30.68773096,6.966765661,17954152
182,0,2018-01-02,Arkansas,AR,17.47053805,2.765119195,6977898
183,0,2018-01-02,California,CA,29.23580925,12.80484293,31980798
184,0,2018-01-02,Colorado,CO,27.48194798,16.85503512,39907200
185,0,2018-01-02,Connecticut,CT,4.216040378,0.408191583,932936
186,0,2018-01-02,Delaware,DE,3.696759788,0.322023975,765334
187,0,2018-01-02,Florida,FL,6.200594518,0.68707901,1812222
188,0,2018-01-02,Georgia,GA,33.87741386,6.944747617,17729700
189,0,2018-01-02,Hawaii,HI,9.711245425,0.350827166,1002810
190,0,2018-01-02,Iowa,IA,38.39307458,9.966340229,22664711
191,0,2018-01-02,Idaho,ID,0.337723558,0.006265896,14243
